#GeneticAlgorithmParams[numberOfGenerations=20, populationSize=30, mutationRate=1.0, mutationProb=0.9, crossoverRate=0.5, elitismRate=0.1, tournamentSize=2, crossoverBlxAlpha=0.001, numberOfSimulationsPerFitness=30]
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
Infinity,Infinity,1.7976931348623157E308,NaN,(0.89640|0.00035|0.57433|0.38300|0.43072|0.96042|0.04705)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.54936|0.52616|0.33902|0.40158|0.74608|0.83581|0.18041)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.45008|0.50802|0.51748|0.09739|0.65719|0.96890|0.79540)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81382|0.08827|0.55828|0.05830|0.96458|0.28077|0.05102)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.54324|0.32245|0.36932|0.56816|0.16176|0.00504|0.43660)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.53548|0.79154|0.95537|0.86086|0.14914|0.17648|0.95919)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81382|0.08827|0.55828|0.05830|0.96458|0.28077|0.05102)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81382|0.08827|0.55828|0.05830|0.96458|0.28077|0.05102)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81136|0.11541|0.06858|0.73935|0.30272|0.92603|0.50363)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81136|0.11541|0.06858|0.73935|0.30272|0.92603|0.50363)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.53548|0.79154|0.95537|0.86086|0.14914|0.17648|0.95919)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.81136|0.11541|0.06858|0.73935|0.30272|0.92603|0.50363)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.53548|0.79154|0.95537|0.86086|0.14914|0.17648|0.95919)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
Infinity,Infinity,1.7976931348623157E308,NaN,(0.37172|0.22616|0.41232|0.44682|0.20462|0.41585|0.68059)
