#SimulationArgs(mode=genetic-algorithm, inputFile=null, outputFilePath=./output.json, numberOfGenerations=50, populationSize=100, mutationRate=0.1, mutationProb=0.1, crossoverRate=0.5, elitismRate=0.1, reverseElitismN=0, tournamentSize=2, maxIterations=100, crossoverBlxAlpha=0.01, numberOfSimulationsPerFitness=10, typeOfReproduction=sexuado)
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
0.007132029522129172,0.002893814766034641,0.0010934121915459358,0.0013173758630657998,(0.76023|0.61140|0.05255|0.94025|0.78091|0.29571|0.22540)
0.007132029522129172,0.0038828557938421003,0.0020377227206083348,0.0014448908273053409,(0.65441|0.18190|0.91639|0.49829|0.11309|0.23355|0.51877)
0.008846698640689843,0.004675828135483712,0.002658979647623071,0.0013578839016722176,(0.79843|0.04520|0.00931|0.25892|0.33830|0.91807|0.37823)
0.009815859446832833,0.0057667552993215885,0.003503889068363112,0.0013667508713785133,(0.51958|0.58472|0.82497|0.70018|0.37413|0.63402|0.51394)
0.009815859446832833,0.006582092890335729,0.004671852091150817,0.0012607133863523307,(0.79843|0.04520|0.00931|0.25892|0.33830|0.91807|0.37823)
0.05852240252478815,0.02276807236400686,0.007107179245048582,0.013986968816687085,(0.46913|0.49864|0.56078|0.69886|0.53579|0.56621|0.11291)
0.05852240252478815,0.029724658929947086,0.007132029522129172,0.014714610318162609,(0.33854|0.03045|0.70279|0.89895|0.19019|0.60227|0.81672)
0.05852240252478815,0.03578067145448674,0.008772147809448076,0.01365825638113625,(0.33854|0.03045|0.70279|0.89895|0.19019|0.60227|0.81672)
0.1114037921522825,0.050860813598071625,0.024701175418105913,0.015362577840514417,(0.87340|0.56625|0.01270|0.47989|0.36342|0.92080|0.47453)
0.1114037921522825,0.06254789890907284,0.046743371188588755,0.01923328176382607,(0.33854|0.03045|0.70279|0.89895|0.19019|0.60227|0.81672)
0.1114037921522825,0.07226833329191625,0.047265227007281134,0.021314747249673846,(0.50682|0.70702|0.73109|0.78874|0.98574|0.59748|0.74971)
