#SimulationArgs(mode=genetic-algorithm, inputFile=null, outputFilePath=./output.json, numberOfGenerations=30, populationSize=10, mutationRate=0.1, mutationProb=0.1, crossoverRate=0.5, elitismRate=0.1, reverseElitismN=2, tournamentSize=2, maxIterations=100, crossoverBlxAlpha=0.001, numberOfSimulationsPerFitness=10, typeOfReproduction=sexuado)
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.55773|0.29455|0.06724|0.24100|0.96886|0.06106|0.41402)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.91486|0.94782|0.40090|0.42177|0.36986|0.89258|0.76519)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.91221|0.87638|0.03918|0.38464|0.28215|0.88978|0.75173)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.38054|0.83985|0.34701|0.35731|0.76099|0.89003|0.89308)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.62092|0.91449|0.35573|0.51015|0.76496|0.89110|0.89596)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.62092|0.91449|0.35573|0.51015|0.76496|0.89110|0.89596)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.62092|0.91449|0.35573|0.51015|0.76496|0.89110|0.89596)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.69235|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.69235|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.34100|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.50713|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.14286|0.87487|0.61088|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.28655|0.76932|0.98941|0.87487|0.38231|0.18813|0.84161)
