#SimulationArgs(mode=genetic-algorithm, inputFile=null, outputFilePath=./output.json, numberOfGenerations=50, populationSize=50, mutationRate=1.0, mutationProb=0.9, crossoverRate=0.5, elitismRate=0.1, reverseElitismN=3, tournamentSize=2, maxIterations=100, crossoverBlxAlpha=0.001, numberOfSimulationsPerFitness=30, typeOfReproduction=sexuado)
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.03277|0.59648|0.18492|0.72828|0.72744|0.15501|0.60481)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.66563|0.36281|0.44492|0.87984|0.85626|0.84009|0.78431)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.66563|0.36281|0.44492|0.87984|0.85626|0.84009|0.78431)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.50604|0.80323|0.52838|0.88469|0.02661|0.05819|0.88919)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.50604|0.80323|0.52838|0.88469|0.02661|0.05819|0.88919)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.75435|0.74083|0.21050|0.81713|0.26062|0.30330|0.68210)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.75435|0.74083|0.21050|0.81713|0.26062|0.30330|0.68210)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.17005|0.41143|0.65123|0.29892|0.36256|0.13280|0.74881)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.75435|0.74083|0.21050|0.81713|0.26062|0.30330|0.68210)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.75435|0.74083|0.21050|0.81713|0.26062|0.30330|0.68210)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.90827|0.35247|0.43349|0.78700|0.28773|0.24024|0.89560)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40929|0.07042|0.34593|0.25410|0.51695|0.28459|0.34190)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.64467|0.85024|0.53219|0.95030|0.92221|0.25273|0.70608)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40929|0.07042|0.34593|0.25410|0.51695|0.28459|0.34190)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.66022|0.91694|0.57581|0.58084|0.16750|0.10993|0.92678)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.18558|0.55272|0.40323|0.30724|0.41582|0.26526|0.80727)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.56024|0.60466|0.49004|0.56310|0.69830|0.31362|0.59992)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.47426|0.96023|0.66013|0.80925|0.13556|0.18181|0.72719)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.47426|0.96023|0.66013|0.80925|0.13556|0.18181|0.72719)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.57533|0.83082|0.39820|0.92568|0.85682|0.24406|0.56383)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.57533|0.83082|0.39820|0.92568|0.85682|0.24406|0.56383)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.57533|0.83082|0.39820|0.92568|0.85682|0.24406|0.56383)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40929|0.07042|0.34593|0.25410|0.51695|0.28459|0.34190)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.57533|0.83082|0.39820|0.92568|0.85682|0.24406|0.56383)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40929|0.07042|0.34593|0.25410|0.51695|0.28459|0.34190)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.57533|0.83082|0.39820|0.92568|0.85682|0.24406|0.56383)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60260|0.10535|0.41865|0.80551|0.80144|0.28882|0.54191)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40929|0.07042|0.34593|0.25410|0.51695|0.28459|0.34190)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.47426|0.96023|0.66013|0.80925|0.13556|0.18181|0.72719)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60695|0.58979|0.20002|0.77446|0.81213|0.30560|0.67674)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.40665|0.75984|0.43285|0.62050|0.44829|0.27679|0.81039)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60923|0.38260|0.57918|0.86524|0.82488|0.42478|0.71674)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60695|0.58979|0.20002|0.77446|0.81213|0.30560|0.67674)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.59170|0.37253|0.48354|0.49541|0.62366|0.38468|0.40327)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60646|0.57459|0.37590|0.76554|0.75844|0.29239|0.67262)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.63744|0.60031|0.51407|0.81883|0.21913|0.27364|0.94636)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.59170|0.37253|0.48354|0.49541|0.62366|0.38468|0.40327)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.44753|0.97125|0.41299|0.94248|0.69126|0.29163|0.83361)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.60646|0.57459|0.37590|0.76554|0.75844|0.29239|0.67262)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.42121|0.17159|0.45201|0.43684|0.57943|0.30076|0.40051)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.59170|0.37253|0.48354|0.49541|0.62366|0.38468|0.40327)
4.9E-324,NaN,1.7976931348623157E308,NaN,(0.55400|0.95117|0.39380|0.28933|0.55447|0.33950|0.37961)
